,exp_loss,actual_regret,exp_regret
0,0.9499999999999998,-0.050000000000000225,-2.960594732333751e-17
1,0.95,-0.03333333333333391,-5.551115123125783e-17
2,0.95,0.0166666666666658,-6.661338147750939e-17
3,0.95,-1.1546319456101628e-15,-7.771561172376095e-17
4,0.95,0.049999999999998594,-9.62193288008469e-17
5,0.95,0.033333333333331557,-1.258252761241844e-16
6,0.95,0.0166666666666646,-1.4802973661668753e-16
7,0.95,0.03333333333333102,-1.6653345369377348e-16
8,0.95,0.08333333333333082,-1.8503717077085943e-16
9,0.95,-0.03333333333333622,-1.8503717077085943e-16
10,0.95,-0.016666666666669844,-1.9613940101711098e-16
11,0.95,-3.4490928631688196e-15,-2.0724163126336256e-16
12,0.95,0.04999999999999632,-2.1094237467877973e-16
13,0.95,0.06666666666666261,-2.1464311809419693e-16
14,0.95,0.049999999999995694,-2.257453483404485e-16
15,0.9500000000000001,-4.5593158877939766e-15,-2.1464311809419693e-16
16,0.95,-0.08333333333333813,-1.9613940101711098e-16
17,0.95,-0.13333333333333836,-1.8503717077085943e-16
18,0.95,-0.11666666666667208,-1.7023419710919068e-16
19,0.95,-0.13333333333333883,-1.6653345369377348e-16
20,0.95,-0.08333333333333919,-1.6653345369377348e-16
21,0.95,-0.16666666666667285,-1.4802973661668753e-16
22,0.95,-0.15000000000000646,-1.3322676295501878e-16
23,0.95,-0.16666666666667332,-1.258252761241844e-16
24,0.95,-0.11666666666667354,-1.1842378929335003e-16
25,0.95,-0.16666666666667374,-1.1102230246251565e-16
26,0.95,-0.11666666666667405,-9.992007221626409e-17
27,0.95,-0.10000000000000768,-8.881784197001253e-17
28,0.95,-0.08333333333334124,-5.921189464667501e-17
29,0.95,-0.06666666666667483,-2.960594732333751e-17
30,0.95,-0.01666666666667508,-2.590520390792032e-17
31,0.95,-8.67454256573789e-15,-2.2204460492503132e-17
32,0.95,0.016666666666657785,0.0
33,0.95,0.033333333333324215,0.0
34,0.95,0.04999999999999054,0.0
35,0.95,-0.06666666666667634,1.4802973661668754e-17
36,0.9499999999999998,-0.05000000000000988,2.590520390792032e-17
37,0.95,-0.10000000000001012,5.181040781584064e-17
38,0.95,-0.11666666666667706,7.401486830834377e-17
39,0.9499999999999998,-0.20000000000001064,9.251858538542972e-17
40,0.95,-0.21666666666667753,1.1842378929335003e-16
41,0.95,-0.2333333333333444,1.4432899320127036e-16
42,0.95,-0.18333333333334467,1.7393494052460786e-16
43,0.9499999999999998,-0.16666666666667818,1.9613940101711098e-16
44,0.95,-0.15000000000001176,2.294460917558657e-16
45,0.95,-0.16666666666667865,2.590520390792032e-16
46,0.95,-0.1166666666666789,2.886579864025407e-16
47,0.95,-0.10000000000001244,3.182639337258782e-16
48,0.95,-0.08333333333334599,3.478698810492157e-16
49,0.95,-0.10000000000001288,3.885780586188048e-16
50,0.9500000000000001,-0.11666666666667984,4.255854927729767e-16
51,0.9500000000000001,-0.13333333333334668,4.662936703425658e-16
52,0.9500000000000001,-0.11666666666668021,5.070018479121548e-16
53,0.9500000000000001,-0.13333333333334713,5.477100254817439e-16
54,0.9500000000000001,-0.18333333333334734,5.847174596359158e-16
55,0.9500000000000001,-0.13333333333334757,6.217248937900876e-16
56,0.95,-0.11666666666668112,6.587323279442596e-16
57,0.95,-0.06666666666668133,6.883382752675971e-16
58,0.95,-0.11666666666668159,7.179442225909346e-16
59,0.95,-0.06666666666668188,7.401486830834377e-16
60,0.95,-0.08333333333334876,7.660538869913581e-16
61,0.95,-0.13333333333334899,7.956598343146956e-16
62,0.95,-0.11666666666668261,8.215650382226159e-16
63,0.95,-0.20000000000001616,8.548717289613706e-16
64,0.95,-0.15000000000001634,8.844776762847081e-16
65,0.95,-0.16666666666668328,9.140836236080455e-16
66,0.95,-0.15000000000001687,9.43689570931383e-16
67,0.95,-0.13333333333335046,9.732955182547207e-16
68,0.95,-0.15000000000001734,1.002901465578058e-15
69,0.95,-0.10000000000001757,1.0325074129013957e-15
70,0.95,-0.05000000000001785,1.062113360224733e-15
71,0.95,-0.10000000000001807,1.0917193075480707e-15
72,0.95,-0.11666666666668495,1.121325254871408e-15
73,0.95,-0.1666666666666852,1.1509312021947457e-15
74,0.95,-0.15000000000001876,1.180537149518083e-15
75,0.95,-0.16666666666668567,1.2101430968414207e-15
76,0.95,-0.15000000000001917,1.239749044164758e-15
77,0.95,-0.1666666666666861,1.2582527612418441e-15
78,0.95,-0.183333333333353,1.27675647831893e-15
79,0.95,-0.26666666666668665,1.3100631690576848e-15
80,0.95,-0.2500000000000201,1.3470706032118565e-15
81,0.95,-0.2666666666666871,1.3877787807814457e-15
82,0.95,-0.21666666666668732,1.432187701766452e-15
83,0.95,-0.26666666666668765,1.4728958793360411e-15
84,0.95,-0.28333333333335436,1.51360405690563e-15
85,0.95,-0.23333333333335468,1.5543122344752192e-15
86,0.95,-0.21666666666668827,1.5950204120448083e-15
87,0.95,-0.2666666666666885,1.6357285896143972e-15
88,0.95,-0.28333333333335536,1.6764367671839863e-15
89,0.95,-0.3000000000000223,1.7245464315844098e-15
90,0.95,-0.35000000000002257,1.7726560959848333e-15
91,0.95,-0.3666666666666894,1.8207657603852566e-15
92,0.95,-0.350000000000023,1.86887542478568e-15
93,0.95,-0.4333333333333565,1.9169850891861035e-15
94,0.95,-0.4166666666666901,1.965094753586527e-15
95,0.95,-0.3666666666666904,2.0132044179869505e-15
96,0.95,-0.38333333333335723,2.061314082387374e-15
97,0.95,-0.4000000000000242,2.1094237467877974e-15
98,0.95,-0.35000000000002435,2.1501319243573866e-15
99,0.95,-0.36666666666669123,2.1908401019269757e-15
